Nationality ,FIFA Ranking ,National Team Kit Sponsor,Position_x,National Team Jersey Number,Player DOB,Club ,Player Name , Appearances,Goals Scored ,Assists Provided ,Dribbles per 90,Interceptions per 90,Tackles per 90,Total Duels Won per 90,Save Percentage,Clean Sheets,Brand Sponsor/Brand Used,Nationality_x,Player Name,ID,Name,Age,Photo,Nationality_y,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position_y,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Position,Best Overall Rating,Release Clause,DefensiveAwareness
France,3,Nike,DF,3.0,"Mar 11, 1998",PSG,A. Disasi,3,0,0,2.00,2.00,4.00,14.00,-,-,Nike,France,L. Messi,229942,A. Disasi,23,https://cdn.sofifa.com/players/229/942/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,77,82,AS Monaco,https://cdn.sofifa.com/teams/69/30.png,€14.5M,€37K,1566,Right,2.0,2.0,2.0,Medium/ High,Normal (185+),No,"<span class=""pos pos28"">SUB",6.0,"Aug 7, 2020",,2025,190cm,86kg,25.0,20.0,76.0,71.0,36.0,56.0,34.0,27.0,68.0,64.0,51.0,53.0,34.0,73.0,35.0,54.0,72.0,70.0,92.0,17.0,77.0,76.0,23.0,51.0,36.0,70.0,,79.0,73.0,12.0,8.0,11.0,8.0,6.0,CB,79.0,€28.6M,78.0
France,3,Nike,DF,17.0,"Mar 24, 2001",Arsenal,W. Saliba,1,0,0,3.33,0.00,0.00,6.67,-,-,Nike,France,L. Messi,243715,W. Saliba,20,https://cdn.sofifa.com/players/243/715/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,76,84,Olympique de Marseille,https://cdn.sofifa.com/teams/219/30.png,€15.5M,€43K,1756,Right,2.0,3.0,2.0,Medium/ High,Normal (185+),No,"<span class=""pos pos4"">RCB",2.0,,"<a href=""/team/1/arsenal/"">Arsenal</a>","Jun 30, 2022",192cm,85kg,48.0,25.0,69.0,73.0,34.0,66.0,55.0,35.0,70.0,72.0,68.0,74.0,51.0,72.0,58.0,57.0,77.0,73.0,82.0,23.0,74.0,77.0,43.0,61.0,47.0,75.0,,80.0,73.0,7.0,10.0,6.0,8.0,11.0,CB,78.0,,77.0
France,3,Nike,DF,22.0,"Oct 6, 1994",AC Milan,T. Hernandez,6,1,2,0.35,0.71,2.83,8.68,-,-,Nike,France,L. Messi,232656,T. Hernandez,23,https://cdn.sofifa.com/players/232/656/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,84,90,AC Milan,https://cdn.sofifa.com/teams/47/30.png,€62.5M,€51K,2185,Left,3.0,3.0,3.0,High/ Medium,Unique,Yes,"<span class=""pos pos7"">LB",19.0,"Jul 5, 2019",,2024,184cm,81kg,84.0,68.0,74.0,78.0,66.0,83.0,69.0,64.0,68.0,79.0,92.0,94.0,78.0,84.0,75.0,80.0,68.0,90.0,79.0,72.0,82.0,78.0,80.0,74.0,50.0,80.0,,79.0,80.0,12.0,10.0,7.0,7.0,7.0,LB,85.0,€118.8M,74.0
France,3,Nke,DF,21.0,"Feb 14, 1996",Bayern Munich,L. Hernandez,1,0,0,0.00,0.00,6.92,6.92,-,-,NIke,France,L. Messi,220814,L. Hernandez,25,https://cdn.sofifa.com/players/220/814/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,83,86,FC Bayern München,https://cdn.sofifa.com/teams/21/30.png,€44.5M,€85K,2007,Left,3.0,3.0,2.0,Low/ High,Unique,Yes,"<span class=""pos pos28"">SUB",21.0,"Jul 1, 2019",,2024,184cm,79kg,78.0,53.0,82.0,74.0,46.0,65.0,59.0,39.0,63.0,76.0,77.0,77.0,70.0,85.0,68.0,62.0,86.0,76.0,77.0,51.0,88.0,83.0,62.0,63.0,42.0,76.0,,85.0,86.0,10.0,7.0,8.0,14.0,10.0,CB,86.0,€76.8M,85.0
France,3,Nike,DF,24.0,"May 25, 1999",Liverpool,I. Konate,5,0,0,0.00,2.16,4.62,8.94,-,-,Nike ,France,L. Messi,237678,I. Konate,22,https://cdn.sofifa.com/players/237/678/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,78,86,Liverpool,https://cdn.sofifa.com/teams/9/30.png,€29.5M,€73K,1705,Right,2.0,2.0,3.0,Medium/ High,Normal (185+),Yes,"<span class=""pos pos28"">SUB",5.0,"Jul 1, 2021",,2026,194cm,95kg,38.0,29.0,77.0,75.0,28.0,67.0,32.0,27.0,69.0,69.0,67.0,75.0,60.0,71.0,54.0,45.0,74.0,61.0,83.0,31.0,77.0,78.0,37.0,51.0,41.0,74.0,,85.0,79.0,9.0,7.0,9.0,9.0,15.0,CB,80.0,€60.5M,76.0
France,3,Nike,DF,18.0,"Oct 27, 1998",Bayern Munich,D. Upamecano,5,0,0,0.00,1.12,2.06,5.25,-,-,Nike,France,L. Messi,229558,D. Upamecano,22,https://cdn.sofifa.com/players/229/558/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,82,90,FC Bayern München,https://cdn.sofifa.com/teams/21/30.png,€64M,€70K,1846,Right,2.0,3.0,2.0,High/ Medium,Stocky (185+),Yes,"<span class=""pos pos4"">RCB",2.0,"Jul 5, 2021",,2026,186cm,90kg,48.0,39.0,82.0,76.0,27.0,69.0,32.0,28.0,72.0,69.0,70.0,90.0,60.0,77.0,66.0,60.0,87.0,65.0,88.0,40.0,83.0,77.0,47.0,58.0,39.0,71.0,,84.0,90.0,6.0,7.0,8.0,15.0,9.0,CB,84.0,€118.4M,78.0
France,3,Nike,MF,14.0,"Apr 3, 1995",Juventus,A. Rabiot,6,1,1,0.75,1.86,2.24,8.95,-,-,Nike,France,L. Messi,210008,A. Rabiot,26,https://cdn.sofifa.com/players/210/008/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,81,82,Juventus,https://cdn.sofifa.com/teams/45/30.png,€30M,€87K,2136,Left,2.0,3.0,3.0,Medium/ Medium,Lean (185+),Yes,"<span class=""pos pos11"">LDM",25.0,"Jul 1, 2019",,2023,192cm,80kg,70.0,69.0,69.0,84.0,69.0,80.0,55.0,59.0,80.0,83.0,70.0,81.0,69.0,82.0,69.0,86.0,73.0,86.0,80.0,76.0,69.0,80.0,76.0,76.0,67.0,80.0,,81.0,75.0,9.0,12.0,9.0,7.0,15.0,CM,82.0,€51.8M,70.0
France,3,Nike,MF,8.0,"Jan 27, 2000",Real Madrid,A. Tchouameni,7,1,0,0.72,2.02,1.59,4.91,-,-,Nike,France,L. Messi,241637,A. Tchouameni,21,https://cdn.sofifa.com/players/241/637/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,79,85,AS Monaco,https://cdn.sofifa.com/teams/69/30.png,€28M,€41K,2093,Right,2.0,3.0,3.0,High/ High,Normal (185+),No,"<span class=""pos pos15"">LCM",8.0,"Jan 30, 2020",,2024,187cm,81kg,65.0,67.0,73.0,81.0,50.0,77.0,68.0,53.0,82.0,79.0,70.0,73.0,75.0,79.0,69.0,76.0,74.0,85.0,81.0,72.0,78.0,79.0,77.0,80.0,55.0,78.0,,79.0,71.0,9.0,8.0,12.0,12.0,7.0,CM,81.0,€58.8M,77.0
France,3,Nike,MF,19.0,"Jan 10, 1999",Monaco,Y. Fofana,6,0,0,0.80,1.21,3.21,5.22,-,-,Adidas,France,L. Messi,245630,Y. Fofana,22,https://cdn.sofifa.com/players/245/630/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,78,83,AS Monaco,https://cdn.sofifa.com/teams/69/30.png,€21.5M,€43K,2034,Right,2.0,3.0,3.0,Medium/ High,Normal (170-185),No,"<span class=""pos pos13"">RCM",22.0,"Jan 30, 2020",,2024,176cm,69kg,66.0,64.0,58.0,79.0,46.0,77.0,66.0,48.0,77.0,78.0,71.0,71.0,72.0,79.0,77.0,76.0,62.0,84.0,76.0,69.0,77.0,79.0,74.0,77.0,64.0,76.0,,79.0,69.0,12.0,7.0,12.0,5.0,9.0,CM,80.0,€42.5M,74.0
France,3,Nike,MF,6.0,"Apr 14, 1999",Marseille,M. Guendouzi,1,0,0,0.00,0.00,1.14,4.56,-,-,Adidas,France,L. Messi,236496,M. Guendouzi,22,https://cdn.sofifa.com/players/236/496/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,77,84,Olympique de Marseille,https://cdn.sofifa.com/teams/219/30.png,€20M,€56K,2052,Right,1.0,3.0,3.0,Medium/ High,Lean (185+),Yes,"<span class=""pos pos12"">RM",6.0,,"<a href=""/team/1/arsenal/"">Arsenal</a>","Jun 30, 2022",185cm,68kg,67.0,56.0,65.0,79.0,55.0,75.0,76.0,67.0,78.0,77.0,73.0,75.0,74.0,75.0,70.0,74.0,69.0,80.0,72.0,68.0,82.0,75.0,67.0,77.0,62.0,74.0,,73.0,70.0,6.0,13.0,6.0,13.0,11.0,CM,78.0,,72.0
France,3,Nike,MF,15.0,"Mar 1, 1999",Marseille,J. Veretout,1,0,0,0.00,0.00,2.86,2.86,-,-,Adidas,France,L. Messi,201519,J. Veretout,28,https://cdn.sofifa.com/players/201/519/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,82,83,Roma,https://cdn.sofifa.com/teams/52/30.png,€29.5M,€66K,2198,Right,2.0,3.0,3.0,Medium/ Medium,Normal (170-185),Yes,"<span class=""pos pos11"">LDM",17.0,"Jul 20, 2019",,2024,177cm,67kg,69.0,69.0,59.0,85.0,72.0,76.0,69.0,71.0,80.0,82.0,84.0,72.0,76.0,79.0,81.0,83.0,74.0,85.0,79.0,80.0,84.0,77.0,69.0,74.0,85.0,82.0,,81.0,77.0,9.0,10.0,11.0,8.0,9.0,CDM,82.0,€52.4M,79.0
France,3,Nike,MF,25.0,"Nov 10, 2002",Real Madrid,E. Camavinga,2,0,0,1.94,1.94,9.06,17.48,-,-,Nike,France,L. Messi,248243,E. Camavinga,18,https://cdn.sofifa.com/players/248/243/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,78,89,Real Madrid CF,https://cdn.sofifa.com/teams/243/30.png,€29.5M,€44K,2089,Left,3.0,3.0,4.0,High/ High,Lean (170-185),Yes,"<span class=""pos pos28"">SUB",25.0,"Sep 1, 2021",,2027,182cm,68kg,70.0,62.0,64.0,81.0,59.0,80.0,72.0,59.0,77.0,81.0,73.0,71.0,80.0,78.0,76.0,72.0,70.0,80.0,76.0,64.0,77.0,76.0,73.0,77.0,62.0,81.0,,78.0,76.0,12.0,6.0,8.0,12.0,12.0,CM,81.0,€66.4M,75.0
France,3,Nike,FW,20.0,"Jun 13, 1996",Bayern Munich,K. Coman,6,0,0,4.91,1.64,1.64,8.73,-,-,Puma,France,L. Messi,213345,K. Coman,25,https://cdn.sofifa.com/players/213/345/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,86,87,FC Bayern München,https://cdn.sofifa.com/teams/21/30.png,€81M,€120K,1974,Right,4.0,3.0,4.0,Medium/ Medium,Unique,Yes,"<span class=""pos pos28"">SUB",11.0,"Aug 30, 2015",,2023,180cm,76kg,79.0,75.0,61.0,80.0,77.0,89.0,83.0,70.0,74.0,88.0,94.0,93.0,91.0,85.0,84.0,80.0,73.0,69.0,64.0,73.0,35.0,23.0,85.0,81.0,70.0,78.0,,27.0,21.0,5.0,3.0,5.0,3.0,5.0,LM,86.0,€139.7M,29.0
France,3,Nike,FW,10.0,"Dec 20, 1998",PSG,K. Mbappe,7,8,2,7.24,0.00,0.00,5.12,-,-,Nike,France,L. Messi,231747,K. Mbappe,22,https://cdn.sofifa.com/players/231/747/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,91,95,Paris Saint-Germain,https://cdn.sofifa.com/teams/73/30.png,€194M,€230K,2175,Right,4.0,4.0,5.0,High/ Low,Unique,Yes,"<span class=""pos pos25"">ST",7.0,"Jul 1, 2018",,2022,182cm,73kg,78.0,93.0,72.0,85.0,83.0,93.0,80.0,69.0,71.0,91.0,97.0,97.0,92.0,93.0,83.0,86.0,78.0,88.0,77.0,82.0,62.0,38.0,92.0,82.0,79.0,88.0,,34.0,32.0,13.0,5.0,7.0,11.0,6.0,ST,92.0,€373.5M,26.0
France,3,Nike,FW,9.0,"Sept 30, 1986",AC Milan,O. Giroud,6,4,0,0.00,0.21,0.21,9.12,-,-,Puma,France,L. Messi,178509,O. Giroud,34,https://cdn.sofifa.com/players/178/509/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,79,79,AC Milan,https://cdn.sofifa.com/teams/47/30.png,€8.5M,€48K,1892,Left,3.0,3.0,3.0,Medium/ Medium,Normal (185+),Yes,"<span class=""pos pos25"">ST",9.0,"Jul 17, 2021",,2024,193cm,91kg,64.0,82.0,90.0,75.0,82.0,69.0,70.0,65.0,58.0,81.0,41.0,43.0,54.0,81.0,53.0,84.0,82.0,54.0,88.0,66.0,76.0,42.0,82.0,77.0,90.0,79.0,,37.0,20.0,12.0,15.0,11.0,6.0,5.0,ST,79.0,€14.5M,37.0
France,3,Nike,FW,7.0,"Mar 21, 1991",Atletico Madrid,A. Griezmann,7,0,3,1.51,1.34,2.34,6.19,-,-,Puma,France,L. Messi,194765,A. Griezmann,30,https://cdn.sofifa.com/players/194/765/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,85,85,Atlético de Madrid,https://cdn.sofifa.com/teams/240/30.png,€53M,€220K,2259,Left,4.0,3.0,4.0,Medium/ Medium,Unique,Yes,"<span class=""pos pos26"">LS",8.0,,"<a href=""/team/241/fc-barcelona/"">FC Barcelona</a>","Jun 30, 2022",176cm,73kg,83.0,84.0,83.0,84.0,86.0,85.0,86.0,85.0,82.0,89.0,80.0,80.0,92.0,89.0,83.0,82.0,90.0,86.0,63.0,83.0,73.0,49.0,89.0,85.0,79.0,90.0,,54.0,49.0,14.0,8.0,14.0,13.0,14.0,CAM,86.0,,43.0
France,3,Nike,FW,11.0,"May 15, 1997",Barcelona,O. Dembele,7,0,2,3.90,0.62,2.47,5.75,-,-,Nike,France,L. Messi,231443,O. Dembele,24,https://cdn.sofifa.com/players/231/443/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,83,88,FC Barcelona,https://cdn.sofifa.com/teams/241/30.png,€55M,€165K,1990,Left,3.0,5.0,5.0,High/ Medium,Unique,Yes,"<span class=""pos pos23"">RW",7.0,"Aug 28, 2017",,2022,178cm,67kg,81.0,75.0,43.0,78.0,76.0,89.0,82.0,64.0,76.0,84.0,94.0,93.0,89.0,78.0,80.0,83.0,58.0,68.0,51.0,76.0,54.0,36.0,77.0,76.0,75.0,80.0,,30.0,33.0,6.0,6.0,14.0,10.0,13.0,LM,85.0,€116.9M,42.0
France,3,Nike,FW,12.0,"Dec 5, 1998",Eintracht Frankfurt,R. KoloMuani,3,1,0,3.50,0.50,3.50,16.50,-,-,Nike,France,L. Messi,237679,R. KoloMuani,22,https://cdn.sofifa.com/players/237/679/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,74,83,FC Nantes,https://cdn.sofifa.com/teams/71/30.png,€9.5M,€21K,1747,Right,1.0,3.0,3.0,Medium/ Medium,Lean (185+),No,"<span class=""pos pos25"">ST",23.0,"Jul 1, 2017",,2022,187cm,73kg,37.0,72.0,75.0,73.0,64.0,81.0,62.0,54.0,62.0,78.0,84.0,81.0,78.0,70.0,52.0,71.0,73.0,67.0,69.0,63.0,31.0,22.0,74.0,60.0,62.0,69.0,,24.0,31.0,7.0,14.0,15.0,8.0,5.0,ST,76.0,€20.9M,28.0
France,3,Nike,FW,26.0,"Aug 6, 1997",Borussia Monchengladbach,M. Thuram,5,1,2,5.55,0.00,1.85,18.49,-,-,Nike,France,L. Messi,228093,M. Thuram,23,https://cdn.sofifa.com/players/228/093/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,79,85,Borussia Mönchengladbach,https://cdn.sofifa.com/teams/23/30.png,€27.5M,€29K,1980,Right,2.0,3.0,3.0,Medium/ Medium,Normal (185+),No,"<span class=""pos pos16"">LM",10.0,"Jul 22, 2019",,2023,192cm,88kg,74.0,80.0,80.0,75.0,70.0,84.0,66.0,30.0,62.0,79.0,79.0,84.0,73.0,81.0,57.0,82.0,71.0,79.0,87.0,75.0,50.0,45.0,80.0,76.0,70.0,74.0,,49.0,37.0,11.0,13.0,14.0,9.0,15.0,ST,82.0,€52.3M,43.0
